Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Average
91123,-2.545354,-2.523196,-2.548081,-2.529673,-2.543309,-2.517742,-2.538537,-2.541604,-2.524219,-2.524219,-2.5335934
91124,-2.526265,-2.531378,-2.539559,-2.543309,-2.552512,-2.522856,-2.551149,-2.524219,-2.573646,-2.521833,-2.5386726
91125,-2.534105,-2.522515,-2.545695,-2.533764,-2.556944,-2.522856,-2.549785,-2.545695,-2.55149,-2.542627,-2.5405476
91126,-2.556262,-2.518765,-2.541604,-2.525924,-2.530696,-2.537855,-2.535469,-2.538877,-2.53206,-2.534787,-2.5352299
91127,-2.523537,-2.536832,-2.53206,-2.510242,-2.521492,-2.521492,-2.523196,-2.546377,-2.530696,-2.550126,-2.529605
91128,-2.531037,-2.530355,-2.52081,-2.53206,-2.533423,-2.529333,-2.517742,-2.532741,-2.52456,-2.534787,-2.5286848
91129,-2.53615,-2.532401,-2.534446,-2.541264,-2.531037,-2.532401,-2.549445,-2.516378,-2.549785,-2.516719,-2.5340026
91130,-2.513651,-2.520128,-2.541264,-2.537514,-2.524901,-2.536832,-2.538196,-2.520469,-2.54365,-2.534446,-2.5311051
91131,-2.546718,-2.532401,-2.578758,-2.533764,-2.525583,-2.528651,-2.526946,-2.518765,-2.518765,-2.510924,-2.5321275
91132,-2.525924,-2.521492,-2.542627,-2.551831,-2.569555,-2.52831,-2.548763,-2.518765,-2.550126,-2.528651,-2.5386044
91133,-2.537514,-2.527969,-2.533082,-2.527287,-2.546377,-2.537855,-2.52456,-2.548422,-2.540923,-2.539559,-2.5363548
91134,-2.543991,-2.558989,-2.523878,-2.533082,-2.564443,-2.537855,-2.529333,-2.531378,-2.544672,-2.54365,-2.5411271
91135,-2.519787,-2.570919,-2.53206,-2.515015,-2.529333,-2.516038,-2.529333,-2.529333,-2.521151,-2.552512,-2.5315481
91136,-2.52456,-2.533423,-2.559671,-2.545354,-2.527287,-2.521833,-2.51331,-2.548422,-2.537514,-2.520469,-2.5331843
